h,valores do tempo,Valores de x,valores de y,valores de vx,valores de vy
0.5,1.0,2.0,1.0,6.0,0.5
0.5,1.0,5.0,1.25,5.2790646445840412,0.31976616114601031
0.5,1.5,7.6395323222920206,1.4098830805730052,4.9574186261186988,0.26040607727743337
 
Delta anterior / 2
h,valores do tempo,Valores de x,valores de y,valores de vx,valores de vy
0.25,1.0,2.0,1.0,6.0,0.5
0.25,1.0,3.5,1.125,5.3047938753536137,0.2765408885065187
0.25,1.25,4.8261984688384034,1.1941352221266297,4.9171963797180105,0.18063852880560349
0.25,1.5,6.055497563767906,1.2392948543280307,4.6641087398241607,0.1288425852829525
0.25,1.75,7.2215247487239465,1.2715055006487688,4.4833275778489217,0.097012154748762403
 
Delta anterior / 2
h,valores do tempo,Valores de x,valores de y,valores de vx,valores de vy
0.125,1.0,2.0,1.0,6.0,0.5
0.125,1.0,2.75,1.0625,5.4703763517752133,0.29537268136769612
0.125,1.125,3.4337970439719019,1.0994215851709621,5.1088459030575661,0.17961907859886073
0.125,1.25,4.0724027818540973,1.1218739699958198,4.8422114498656006,0.10616606607441052
0.125,1.375,4.6776792130872975,1.135144728255121,4.6352294376834502,0.055937196314627791
0.125,1.5,5.2570828927977287,1.1421368777944494,4.4686062900245931,0.019737188531586541
0.125,1.625,5.8156586790508031,1.1446040263608976,4.3307856476876578,-0.0073878665722745956
0.125,1.75,6.35700688501176,1.1436805430393633,4.2143695231110687,-0.02833213468187961
0.125,1.875,6.8838030754006434,1.1401390262041284,4.1143733935148949,-0.044894126443290869
 
Delta anterior / 2
